latitude,longitude,speed_knots,course,distance_nm,eta_hours
-5.95496,105.746872,4.0,311,25.97521591542648,6.49380397885662
-5.942253,105.731786,4.07,311,24.79467514222961,6.09205777450359
-5.929547,105.7167,4.15,311,23.614157272027807,5.690158378801881
-5.91684,105.701614,4.22,312,22.43358477440935,5.316015349386102
-5.904134,105.686528,4.29,312,21.25303524880465,4.9540874705838345
-5.891427,105.671442,4.36,313,20.072431163316647,4.603768615439598
-5.878721,105.656355,4.44,313,18.891804526952992,4.254910929493917
-5.866014,105.641269,4.51,313,17.71116898935038,3.9270884677051843
-5.853308,105.626183,4.58,314,16.5305565618542,3.6092918257323583
-5.840601,105.611097,4.65,314,15.349889709433443,3.301051550415794
-5.827895,105.596011,4.73,315,14.169246036103232,2.9956122697892664
-5.815188,105.580925,4.8,315,12.988548005365319,2.705947501117775
-5.802481,105.565839,4.87,315,11.807834436518275,2.424606660476032
-5.789775,105.550753,4.95,316,10.627144150124092,2.146897808105877
-5.777068,105.535667,5.02,316,9.4463996076988,1.8817529099001593
-5.764362,105.520581,5.09,317,8.26567841665281,1.6239053863757975
-5.751655,105.505495,5.16,317,7.084903037120892,1.3730432242482349
-5.738949,105.490408,5.24,317,5.90410547805966,1.1267376866526069
-5.726242,105.475322,5.31,318,4.723299396994555,0.8895102442550953
-5.713536,105.460236,5.38,318,3.5425168054237655,0.6584603727553467
-5.700829,105.44515,5.45,319,2.361680160080847,0.4333358091891462
-5.688123,105.430064,5.53,319,1.1808670733230007,0.21353834960632923
-5.50583,105.307442,0.2,66,1.8907756380513292,0.1890775638051329
-5.506077,105.307928,0.27,69,1.8581636358979423,0.18581636358979423
-5.506323,105.308414,0.34,72,1.8255789285847481,0.18255789285847482
-5.50657,105.3089,0.41,75,1.7929669477211678,0.1792966947721168
-5.506817,105.309386,0.48,78,1.7603549776884835,0.17603549776884836
-5.507064,105.309872,0.54,81,1.72774301849381,3.1995241083218704
-5.50731,105.310357,0.61,84,1.6952115901653735,2.779035393713727
-5.507557,105.310843,0.68,87,1.6625996524326936,2.4449994888716082
-5.507804,105.311329,0.75,90,1.6299877255470892,2.173316967396119
-5.508051,105.311815,0.82,93,1.5973758095148105,1.9480192798961105
-5.508297,105.312301,0.89,96,1.564791187552696,1.758192345564827
-5.508544,105.312787,0.96,99,1.5321792927846336,1.5960200966506601
-5.508791,105.313273,1.03,102,1.4995674088731663,1.4558906882263751
-5.509037,105.313759,1.1,105,1.466982819534023,1.33362074503093
-5.509284,105.314245,1.17,108,1.4343709568750014,1.2259580827991465
-5.509531,105.314731,1.23,111,1.4017591050747675,1.1396415488412743
-5.509778,105.315217,1.3,114,1.3691472641390525,1.0531902031838865
-5.510024,105.315703,1.37,117,1.3365627178683948,0.9755932247214559
-5.510271,105.316188,1.44,120,1.3040041342049775,0.9055584265312344
-5.510518,105.316674,1.51,123,1.2713923256222093,0.8419816725974896
-5.510764,105.31716,1.58,126,1.2388078112054597,0.7840555767123162
-5.511011,105.317646,1.65,129,1.2061960238392262,0.7310278932358947
-5.511258,105.318132,1.72,132,1.173584247355301,0.682316422880989
-5.511505,105.318618,1.79,135,1.1409724817668419,0.6374147942831518
-5.511751,105.319104,1.86,138,1.1083880104343007,0.5959075324915595
-5.511998,105.31959,1.92,141,1.075776266032397,0.5603001385585401
-5.512245,105.320076,1.99,144,1.0431645325295151,0.5242032826781483
-5.512492,105.320562,2.06,147,1.0105528099372934,0.49055961647441426
-5.512738,105.321048,2.13,150,0.9779683817302015,0.45914008531934347
-5.512985,105.321533,2.2,153,0.9454099162464246,0.42973178011201113
-5.513232,105.322019,2.27,156,0.912798226075124,0.4021137559802308
-5.513478,105.322505,2.34,159,0.8802138296007688,0.3761597562396448
